timestamp,download_mbps,upload_mbps,ping_ms,server_name,server_location,direction,tilt
2025-07-01T12:48:15.745Z,73.42,13.38,32.1,"CWCS Managed Hosting","Nottingham, GB",156,40
2025-07-01T12:58:38.798Z,81.88,25.82,35.4,"Internet Connections Ltd","Leek, GB",156,40
2025-07-01T13:08:37.755Z,117.40,17.47,36.3,"Public Internet Ltd","Oxford, GB",156,40
2025-07-01T13:18:38.608Z,154.31,19.84,33.8,"ASK4","Sheffield, GB",156,40
2025-07-01T13:28:39.441Z,56.44,6.18,46.0,"Rackdog","London, GB",156,40
2025-07-01T13:38:37.975Z,98.50,7.69,26.9,"IDNet","London, GB",156,40
2025-07-01T13:48:37.810Z,126.90,17.78,36.3,"BRSK","London, GB",156,40
2025-07-01T13:58:37.831Z,104.40,26.63,31.1,"toob Ltd","London, GB",156,40
2025-07-01T14:08:37.981Z,148.08,26.10,41.8,"Vorboss Limited","London, GB",156,40
2025-07-01T14:18:38.083Z,98.87,7.32,35.2,"YouFibre","London, GB",156,40
2025-07-01T14:28:38.255Z,65.23,16.10,33.2,"Trooli","Slough, GB",156,40
2025-07-01T14:38:37.591Z,212.03,12.12,31.2,"Trooli","Slough, GB",156,40
2025-07-01T14:48:39.510Z,161.03,2.86,38.1,"Trooli","Slough, GB",156,40
2025-07-01T14:58:37.920Z,106.14,14.58,33.2,"YouFibre","London, GB",156,40
2025-07-01T15:08:37.613Z,153.47,15.05,31.9,"Trooli","Slough, GB",156,40
2025-07-01T15:18:38.663Z,136.62,9.64,47.4,"Vorboss Limited","London, GB",156,40
2025-07-01T15:28:37.461Z,176.91,32.52,31.3,"YouFibre","London, GB",156,40
2025-07-01T15:38:38.844Z,126.24,14.73,32.5,"YouFibre","London, GB",156,40
2025-07-01T15:48:37.922Z,72.60,14.61,39.2,"Trooli","Slough, GB",156,40
2025-07-01T15:58:38.347Z,142.74,13.06,38.1,"YouFibre","London, GB",156,40
2025-07-01T16:08:38.058Z,124.24,14.32,37.9,"Trooli","Slough, GB",156,40
2025-07-01T16:18:39.273Z,100.10,4.43,37.1,"YouFibre","London, GB",156,40
2025-07-01T16:28:37.746Z,141.61,16.93,25.2,"toob Ltd","London, GB",156,40
2025-07-01T16:38:37.720Z,43.25,12.00,31.3,"toob Ltd","London, GB",156,40
2025-07-01T16:48:37.507Z,159.60,25.77,29.2,"Trooli","Slough, GB",156,40
2025-07-01T16:58:38.151Z,86.77,17.35,30.4,"VeloxServ Communications","London, GB",156,40
2025-07-01T17:08:37.456Z,10.59,25.55,24.6,"VeloxServ Communications","London, GB",156,40
2025-07-01T17:18:45.795Z,172.95,15.67,31.9,"Glide","London, GB",156,40
2025-07-01T17:28:37.721Z,59.23,19.08,34.8,"VeloxServ Communications","London, GB",156,40
2025-07-01T17:38:38.578Z,38.39,8.17,31.8,"VeloxServ Communications","London, GB",156,40
2025-07-01T17:48:38.079Z,14.16,15.77,36.7,"Connect Fibre","Slough, GB",156,40
2025-07-01T17:58:38.425Z,113.74,3.58,33.6,"Connect Fibre","Slough, GB",156,40
2025-07-01T18:08:38.008Z,26.60,15.60,30.1,"Trooli","Slough, GB",156,40
2025-07-01T18:18:37.945Z,61.42,35.12,42.5,"Connect Fibre","Slough, GB",156,40
2025-07-01T18:28:37.720Z,201.08,16.30,30.7,"VeloxServ Communications","London, GB",156,40
2025-07-01T18:47:02.351Z,283.69,25.61,30.8,"VeloxServ Communications","London, GB",156,40
2025-07-01T19:21:50.886Z,118.98,21.39,33.5,"Glide","London, GB",156,40
2025-07-01T19:55:14.072Z,77.20,21.31,36.8,"VeloxServ Communications","London, GB",156,40
2025-07-01T20:14:17.130Z,70.38,15.25,33.1,"Vorboss Limited","London, GB",156,40
2025-07-01T20:49:07.277Z,75.06,28.88,40.1,"Community Fibre Limited","London, GB",156,40
2025-07-01T21:06:31.831Z,41.19,9.31,33.2,"toob Ltd","London, GB",156,40
2025-07-01T21:24:36.404Z,104.97,17.65,35.3,"Vorboss Limited","London, GB",156,40
2025-07-01T21:34:35.895Z,114.94,13.95,35.2,"toob Ltd","London, GB",156,40
2025-07-01T21:51:31.067Z,156.62,33.73,37.8,"Vorboss Limited","London, GB",156,40
2025-07-01T22:11:31.057Z,103.42,19.01,33.2,"toob Ltd","London, GB",156,40
2025-07-01T22:21:31.351Z,101.42,20.53,42.6,"VeloxServ Communications","London, GB",156,40
