timestamp,download_mbps,upload_mbps,ping_ms,server_name,server_location,direction,tilt
2025-07-03T13:40:43.686Z,102.15,12.08,33.4,"FibreNest","Slough, GB",155,40
2025-07-03T13:51:05.898Z,85.15,35.39,43.1,"ASK4","Sheffield, GB",155,40
2025-07-03T14:11:05.531Z,88.29,17.78,31.6,"Trooli","Slough, GB",155,40
2025-07-03T14:21:05.693Z,210.97,21.12,29.2,"Truespeed Communications","Bath, GB",155,40
2025-07-03T14:31:05.993Z,78.52,22.95,37.2,"Truespeed Communications","Bath, GB",155,40
2025-07-03T14:41:05.737Z,143.76,12.99,39.1,"Trooli","Slough, GB",155,40
2025-07-03T14:51:05.884Z,47.65,19.64,37.9,"Furry Institute of Technology","Sheffield, GB",155,40
2025-07-03T15:11:06.476Z,222.02,11.80,36.5,"PQ.Hosting","Coventry, GB",155,40
2025-07-03T15:21:05.754Z,51.56,21.24,29.0,"Trooli","Slough, GB",155,40
2025-07-03T15:41:06.208Z,90.37,19.75,39.7,"Truespeed Communications","Bath, GB",155,40
2025-07-03T15:51:05.822Z,214.46,20.02,31.2,"Truespeed Communications","Bath, GB",155,40
2025-07-03T16:11:05.932Z,106.66,15.30,36.6,"Truespeed Communications","Bath, GB",155,40
2025-07-03T16:21:05.783Z,245.23,35.47,35.5,"Trooli","Slough, GB",155,40
2025-07-03T16:31:05.927Z,91.74,12.68,37.9,"Trooli","Slough, GB",155,40
2025-07-03T16:41:05.759Z,169.70,15.30,34.8,"Truespeed Communications","Bath, GB",155,40
2025-07-03T16:51:05.822Z,32.60,16.76,45.0,"Clouvider Ltd","Manchester, GB",155,40
2025-07-03T17:11:05.697Z,182.51,20.05,33.0,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T17:21:05.896Z,141.68,16.28,38.5,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T17:31:07.116Z,72.93,10.52,37.9,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T17:41:06.005Z,128.01,23.67,31.5,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T17:51:07.260Z,47.46,17.88,53.0,"Clouvider Ltd","Manchester, GB",155,40
2025-07-03T18:11:06.392Z,69.39,22.98,39.1,"CWCS Managed Hosting","Nottingham, GB",155,40
2025-07-03T18:21:05.902Z,120.80,17.54,33.8,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T18:31:05.955Z,225.35,27.16,34.3,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T18:41:06.142Z,162.14,20.11,36.6,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T18:51:05.800Z,75.73,23.17,32.6,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T19:11:05.984Z,196.68,33.06,37.9,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T19:21:05.880Z,119.57,14.58,35.5,"CWCS Managed Hosting","Nottingham, GB",155,40
2025-07-03T19:31:06.372Z,54.22,12.67,42.7,"FibreNest","Manchester, GB",155,40
2025-07-03T19:41:06.665Z,124.58,9.59,40.6,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T19:51:05.728Z,182.24,23.23,27.9,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T20:11:06.284Z,208.64,17.40,42.9,"20i Ltd","Nottingham, GB",155,40
2025-07-03T20:21:05.733Z,117.75,14.34,34.1,"20i Ltd","Nottingham, GB",155,40
2025-07-03T20:31:06.222Z,177.91,20.69,30.1,"20i Ltd","Nottingham, GB",155,40
2025-07-03T20:41:06.196Z,41.93,14.93,34.5,"20i Ltd","Nottingham, GB",155,40
2025-07-03T20:51:05.492Z,105.91,22.98,24.5,"20i Ltd","Nottingham, GB",155,40
2025-07-03T21:11:06.466Z,55.62,13.02,37.2,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T21:21:05.799Z,138.65,29.03,32.5,"20i Ltd","Nottingham, GB",155,40
2025-07-03T21:31:05.647Z,132.89,19.50,37.9,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T21:41:05.805Z,198.64,19.90,30.3,"20i Ltd","Nottingham, GB",155,40
2025-07-03T21:51:07.021Z,177.92,12.01,27.6,"20i Ltd","Nottingham, GB",155,40
2025-07-03T22:11:06.189Z,69.75,11.60,38.5,"20i Ltd","Nottingham, GB",155,40
2025-07-03T22:21:06.211Z,32.82,10.83,27.2,"20i Ltd","Nottingham, GB",155,40
2025-07-03T22:31:06.060Z,117.04,20.73,33.9,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T22:41:06.925Z,62.17,10.04,30.7,"KCOM Group PLC","Hull, GB",155,40
2025-07-03T22:51:06.380Z,118.97,13.02,43.1,"toob Ltd","London, GB",155,40
2025-07-03T23:11:06.027Z,145.22,13.26,33.1,"Zen Internet","London, GB",155,40
2025-07-03T23:21:05.999Z,108.23,20.56,43.8,"Zen Internet","London, GB",155,40
2025-07-03T23:31:06.312Z,172.23,7.01,48.7,"Structured Communications","London, GB",155,40
2025-07-03T23:41:05.772Z,203.67,22.68,36.3,"VeloxServ Communications","London, GB",155,40
2025-07-03T23:51:05.462Z,205.80,31.88,30.1,"Structured Communications","London, GB",155,40
2025-07-04T00:11:05.664Z,165.88,27.29,34.0,"Zen Internet","London, GB",155,40
2025-07-04T00:21:05.917Z,202.23,4.96,30.2,"Structured Communications","London, GB",155,40
2025-07-04T00:31:05.814Z,205.74,19.64,30.9,"toob Ltd","London, GB",155,40
2025-07-04T00:41:06.931Z,295.60,26.40,34.3,"VeloxServ Communications","London, GB",155,40
2025-07-04T00:51:05.640Z,177.02,28.52,35.2,"toob Ltd","London, GB",155,40
2025-07-04T01:11:05.785Z,166.98,25.83,39.0,"Structured Communications","London, GB",155,40
2025-07-04T01:21:05.764Z,76.02,24.62,33.1,"Structured Communications","London, GB",155,40
2025-07-04T01:31:05.523Z,207.07,31.04,32.4,"toob Ltd","London, GB",155,40
2025-07-04T01:41:06.664Z,128.78,10.66,26.5,"VeloxServ Communications","London, GB",155,40
2025-07-04T01:51:05.574Z,96.48,26.10,33.6,"YouFibre","London, GB",155,40
2025-07-04T02:11:06.073Z,129.68,32.27,46.6,"Structured Communications","London, GB",155,40
2025-07-04T02:21:06.690Z,43.36,17.96,31.8,"Structured Communications","London, GB",155,40
2025-07-04T02:41:05.836Z,150.15,15.75,33.3,"Structured Communications","London, GB",155,40
2025-07-04T02:51:05.999Z,181.18,18.71,36.4,"VeloxServ Communications","London, GB",155,40
2025-07-04T03:11:05.760Z,203.43,16.35,29.2,"VeloxServ Communications","London, GB",155,40
2025-07-04T03:21:05.598Z,178.28,11.96,35.0,"toob Ltd","London, GB",155,40
2025-07-04T03:31:05.587Z,178.97,26.61,34.4,"Structured Communications","London, GB",155,40
2025-07-04T03:41:05.324Z,184.17,27.14,31.8,"toob Ltd","London, GB",155,40
2025-07-04T03:51:06.778Z,207.89,10.28,33.7,"VeloxServ Communications","London, GB",155,40
2025-07-04T04:11:05.623Z,190.58,12.13,35.3,"VeloxServ Communications","London, GB",155,40
2025-07-04T04:21:05.820Z,196.05,15.35,32.4,"Structured Communications","London, GB",155,40
2025-07-04T04:31:06.066Z,177.98,21.49,32.4,"YouFibre","London, GB",155,40
2025-07-04T04:41:05.638Z,218.73,26.35,34.3,"YouFibre","London, GB",155,40
2025-07-04T04:51:06.168Z,169.65,16.60,36.9,"University of Oxford, IT Services","Abingdon, GB",155,40
2025-07-04T05:11:05.696Z,183.92,24.69,34.6,"Connect Fibre","Slough, GB",155,40
2025-07-04T05:21:05.762Z,150.28,15.01,32.2,"Cilix Limited","Bracknell, GB",155,40
2025-07-04T05:31:05.963Z,155.53,15.34,36.6,"Public Internet Ltd","Oxford, GB",155,40
2025-07-04T05:41:05.655Z,206.39,14.00,32.9,"FibreNest","Slough, GB",155,40
2025-07-04T05:51:05.851Z,152.30,10.07,26.1,"FibreNest","Slough, GB",155,40
2025-07-04T06:11:05.464Z,146.35,20.28,28.9,"FibreNest","Slough, GB",155,40
2025-07-04T06:21:05.675Z,65.77,21.27,32.7,"Connect Fibre","Slough, GB",155,40
2025-07-04T06:41:05.589Z,142.65,18.66,30.2,"Connect Fibre","Slough, GB",155,40
2025-07-04T06:51:06.220Z,118.25,21.85,39.1,"Public Internet Ltd","Oxford, GB",155,40
2025-07-04T07:11:06.441Z,70.56,10.23,39.4,"Public Internet Ltd","Oxford, GB",155,40
2025-07-04T07:21:05.791Z,93.95,15.90,30.6,"Connect Fibre","Slough, GB",155,40
2025-07-04T07:41:05.678Z,253.74,31.05,32.1,"FibreNest","Slough, GB",155,40
2025-07-04T07:51:06.301Z,29.27,8.73,38.2,"CWCS Managed Hosting","Nottingham, GB",155,40
2025-07-04T08:21:06.209Z,36.97,7.62,37.9,"Furry Institute of Technology","Sheffield, GB",155,40
2025-07-04T08:31:06.661Z,93.63,21.44,47.9,"Quickline Communications","Barnsley, GB",155,40
2025-07-04T08:41:06.860Z,116.68,6.54,52.7,"Exascale","Telford, GB",155,40
2025-07-04T08:51:05.947Z,267.75,15.04,31.0,"Exascale","Telford, GB",155,40
2025-07-04T09:11:08.882Z,86.14,7.27,36.1,"Exascale","Telford, GB",155,40
2025-07-04T09:21:07.763Z,76.90,2.86,38.6,"CWCS Managed Hosting","Nottingham, GB",155,40
2025-07-04T09:41:06.182Z,67.04,7.60,44.3,"Furry Institute of Technology","Sheffield, GB",155,40
2025-07-04T09:51:06.625Z,34.34,0.90,39.8,"Exascale","Telford, GB",155,40
2025-07-04T10:11:06.458Z,67.88,19.03,45.3,"Quickline Communications","Barnsley, GB",155,40
2025-07-04T10:21:06.745Z,46.86,5.45,45.2,"CWCS Managed Hosting","Nottingham, GB",155,40
2025-07-04T10:31:07.733Z,7.22,19.75,44.6,"CWCS Managed Hosting","Nottingham, GB",155,40
2025-07-04T10:41:06.274Z,52.64,17.25,39.9,"Exascale","Telford, GB",155,40
2025-07-04T10:51:06.592Z,67.86,4.94,30.6,"Zen Internet","London, GB",155,40
2025-07-04T11:11:05.815Z,77.83,20.11,26.5,"Zen Internet","London, GB",155,40
2025-07-04T11:21:06.869Z,78.87,6.21,26.6,"Zen Internet","London, GB",155,40
2025-07-04T11:31:05.791Z,115.06,11.12,27.2,"Zen Internet","London, GB",155,40
2025-07-04T11:41:05.871Z,148.08,27.03,30.0,"Zen Internet","London, GB",155,40
2025-07-04T11:51:06.103Z,68.79,17.09,31.4,"Zen Internet","London, GB",155,40
2025-07-04T12:11:06.636Z,120.38,8.76,41.6,"Lit Fibre Group Ltd.","London, GB",155,40
2025-07-04T12:21:06.262Z,118.38,21.48,36.4,"Zen Internet","London, GB",155,40
2025-07-04T12:31:05.869Z,117.02,27.01,32.8,"Zen Internet","London, GB",155,40
2025-07-04T12:41:05.799Z,162.75,14.81,35.2,"IDNet","London, GB",155,40
2025-07-04T13:24:14.230Z,75.08,12.94,40.7,"YouFibre","London, GB",155,40
2025-07-04T13:34:13.635Z,84.46,21.12,41.1,"KamaTera, Inc.","London, GB",155,40
2025-07-04T13:44:13.779Z,93.16,17.20,33.5,"Lit Fibre Group Ltd.","London, GB",155,40
2025-07-04T13:54:14.180Z,96.26,9.66,38.1,"toob Ltd","London, GB",155,40
2025-07-04T14:14:13.533Z,85.81,8.85,32.6,"Syntura Group Ltd","London, GB",155,40
2025-07-04T14:24:13.328Z,113.02,21.44,25.2,"Syntura Group Ltd","London, GB",155,40
2025-07-04T14:34:14.174Z,73.04,5.05,45.2,"BRSK","London, GB",155,40
2025-07-04T14:44:14.220Z,41.28,3.49,37.1,"Syntura Group Ltd","London, GB",155,40
2025-07-04T14:54:13.298Z,73.31,18.59,33.8,"Syntura Group Ltd","London, GB",155,40
2025-07-04T15:14:13.730Z,61.17,13.20,38.2,"toob Ltd","London, GB",155,40
2025-07-04T15:24:14.179Z,110.54,15.54,35.9,"31173 Services AB","London, GB",155,40
2025-07-04T15:34:13.448Z,42.19,11.03,33.6,"31173 Services AB","London, GB",155,40
2025-07-04T15:44:13.688Z,152.97,33.97,36.6,"31173 Services AB","London, GB",155,40
2025-07-04T15:54:14.595Z,38.76,11.48,34.4,"BRSK","London, GB",155,40
2025-07-04T16:14:13.719Z,134.15,14.22,29.7,"Syntura Group Ltd","London, GB",155,40
2025-07-04T16:24:14.473Z,43.54,17.58,38.9,"Syntura Group Ltd","London, GB",155,40
2025-07-04T16:34:13.580Z,83.32,8.53,35.5,"31173 Services AB","London, GB",155,40
2025-07-04T16:44:13.986Z,73.03,25.28,43.4,"Glide","London, GB",155,40
2025-07-04T16:54:13.598Z,108.05,13.23,37.7,"VeloxServ Communications","London, GB",155,40
2025-07-04T17:14:17.084Z,18.99,9.72,33.1,"VeloxServ Communications","London, GB",155,40
2025-07-04T17:24:13.623Z,101.08,19.64,31.8,"toob Ltd","London, GB",155,40
2025-07-04T17:34:13.269Z,167.27,14.45,27.1,"VeloxServ Communications","London, GB",155,40
2025-07-04T17:44:13.468Z,226.46,29.04,29.3,"VeloxServ Communications","London, GB",155,40
2025-07-04T17:54:13.811Z,98.38,26.39,28.8,"VeloxServ Communications","London, GB",155,40
2025-07-04T18:14:13.367Z,179.36,13.83,33.7,"KamaTera, Inc.","London, GB",155,40
2025-07-04T18:24:14.152Z,79.61,14.60,33.3,"VeloxServ Communications","London, GB",155,40
2025-07-04T18:34:14.099Z,60.19,21.65,36.1,"Orbital Net","London, GB",155,40
2025-07-04T18:44:13.611Z,56.19,13.29,31.7,"VeloxServ Communications","London, GB",155,40
2025-07-04T18:54:13.836Z,114.50,10.45,32.0,"toob Ltd","London, GB",155,40
2025-07-04T19:14:13.600Z,183.76,12.93,29.2,"IDNet","London, GB",155,40
2025-07-04T19:24:13.605Z,95.23,19.29,30.7,"VeloxServ Communications","London, GB",155,40
2025-07-04T19:34:13.302Z,134.24,12.88,29.3,"VeloxServ Communications","London, GB",155,40
